lID,road,neighborhood,npu
3695,East District Avenue,Atlantic Station,E
3696,Harbin Road Southwest,Cascade Heights,I
3697,Chaucer Drive Southwest,Peyton Forest,I
3698,Shelly Drive Southwest,Peyton Forest,I
3699,Moores Mill Road,Ridgewood Heights,C
3700,Sussex Road Northeast,Morningside/Lenox Park,F
3701,East Roxboro Road Northeast,Pine Hills,B
3702,Polar Rock Terrace Southwest,Browns Mill Park,Z
3703,Roxboro Road,Pine Hills,B
3704,Simon Terrace Northwest,Collier Heights,I
3705,Chaumont Square Northwest,Cross Creek,C
3706,Dumbarton Road Northwest,Kingswood,A
3707,River Ridge Drive Southwest,Orchard Knob,Z
3708,Landrum Arms Drive Southwest,Southwest,R
3709,Callan Circle Northeast,Candler Park,N
3710,Castlegate Drive Northwest,Kingswood,A
3711,Henry Thomas Drive Southeast,Thomasville Heights,Z
3712,Marona Street Northeast,Edgewood,O
3713,Bolton Road Northwest,Old Gordon,H
3714,Fernleaf Park Drive,Fernleaf,C
3715,Cascade Knolls Drive Southwest,Midwest Cascade,Q
3716,Glendalough Place Southwest,Westview,T
3717,Ralph David Abernathy Freeway,Capitol Gateway,V
3718,Chicamauga Avenue Northwest,Hunter Hills,K
3719,Atlanta BeltLine Southside Trail,Peoplestown,V
3720,Glenrock Drive Northwest,Lincoln Homes,G
3721,Cannon Street,Princeton Lakes,P
3722,Whitehall Street Southwest,Downtown,M
3723,Cedar Island Drive Southwest,West Manor,I
3724,Leonardo Avenue Northeast,Lake Claire,N
3725,Dean Drive Northwest,Wildwood (NPU-C),C
3726,Highland Terrace Northeast,Virginia Highland,F
3727,Fairlane Circle Northwest,Fairburn Heights,H
3728,Springlake Drive Northwest,Springlake,C
3729,Piedmont Center Roundabout at Buildings 9-12,North Buckhead,B
3730,West Wieuca Road Northeast,East Chastain Park,B
3731,Neptune Place Northwest,Carroll Heights,H
3732,Inman Circle Northeast,Ansley Park,E
3733,Jackson Trace Court,Lincoln Homes,G
3734,Monroe Circle Northeast,Midtown,E
3735,Old Plantation Road Northwest,Paces,A
3736,Euclid Terrace Northeast,Candler Park,N
3737,I 75,Brandon,C
3738,Harper Street Northwest,Underwood Hills,D
3739,Commons Place Northwest,Riverside,D
3740,Downtown Connector,Mechanicsville,V
3741,Utoy Court Southwest,Ridgecrest Forest,H
3742,Wenlock Avenue Northwest,Hills Park,D
3743,Highgate Court,Regency Trace,Q
3744,Santa Fe Trail Southwest,Arlington Estates,P
3745,Adams Drive Southwest,Cascade Heights,I
3746,Bernard Road Northwest,Riverside,D
3747,Burbank Drive Southwest,Hunter Hills,K
3748,Nancy Creek Ridge Northwest,Paces,A
3749,Habersham Road Northeast,Buckhead Forest,B
3750,Habershal Drive Northwest,West Highlands,G
3751,Muscogee Avenue Northwest,Peachtree Heights West,B
3752,Sizemore Avenue Northwest,Almond Park,G
3753,Duffield Drive Northwest,Collier Heights,I
3754,West Andrews Drive Northwest,Peachtree Heights West,B
3755,Habersham Road Northwest,Peachtree Heights West,B
3756,Beecher Road Southwest,Westwood Terrace,I
3757,Margaret Street Southeast,South Atlanta,Y
3758,Daws Avenue Southeast,East Lake,O
3759,Lyle Place Northwest,Home Park,E
3760,Parkside Court Northeast,East Chastain Park,B
3761,Barclay Close,Ridgewood Heights,C
3762,King Road Northwest,Chastain Park,A
3763,Village Court SE,Ormewood Park,W
3764,Victoria Park,Princeton Lakes,P
3765,Interlock Avenue Northwest,Home Park,E
3766,Arden Road Northwest,Brandon,C
3767,Summit Avenue Northwest,Almond Park,G
3768,Crosby Drive Northwest,Carroll Heights,H
3769,Northview Avenue Northeast,Morningside/Lenox Park,F
3770,Sandtree Court Southwest,Sandlewood Estates,P
3771,South Avenue Southeast,Grant Park,W
3772,Springview Road Northwest,West Lake,J
3773,Barge Road Southwest,Rue Royal,P
3774,Hogan Road Southwest,Brentwood,P
3775,Haven Street Southeast,Norwood Manor,Z
3776,Hunter Place Northwest,Washington Park,K
3777,Morris Street Northwest,Carey Park,G
3778,Weyman Court Northwest,Brandon,C
3779,Dilbeck Place Northeast,North Buckhead,B
3780,Cedar Chase Circle Northeast,Lindridge/Martin Manor,F
3781,Rigdon Place Northwest,Vine City,L
3782,Helen Lane Southwest,Greenbriar Village,P
3783,2,Downtown,M
3784,Level Ridge Road Southeast,Orchard Knob,Z
3785,Cox Drive Southwest,Harland Terrace,I
3786,Audrey Place,Lincoln Homes,G
3787,West Wesley Road Northwest,Paces,A
3788,Kenyon Street Southeast,Reynoldstown,N
3789,West Paces Ferry Road Northwest,Arden/Habersham,C
3790,Langford Parkway,Perkerson,X
3791,Maiden Lane Northeast,Virginia Highland,F
3792,Callaway Court,Whittier Mill Village,D
3793,Augusta Place Southeast,Grant Park,W
3794,Lowndes Street Southwest,Adair Park,V
3795,Woodland Terrace Southwest,Cascade Heights,I
3796,Oak Trail Northwest,Oakcliff,H
3797,Martin Street Southeast,Capitol Gateway,W
3798,Cedar Chase Lane Northeast,Lindridge/Martin Manor,F
3799,Pryor Road,Mechanicsville,V
3800,Marietta Street,English Avenue,L
3801,I 85,Midtown,E
3802,Alex Way Southwest,Wilson Mill Meadows,H
3803,Sandfall Court Southwest,Sandlewood Estates,P
3804,Reservoir Drive Northwest,Berkeley Park,D
3805,Warwick Street Southeast,Ormewood Park,W
3806,Lathrop Street Southeast,Thomasville Heights,Z
3807,Love Street Southwest,Mechanicsville,V
3808,Fairburn Road Northwest,Fairburn Heights,H
3809,Hamilton E Holmes Drive Northwest,Center Hill,I
3810,Delta Place Northeast,Inman Park,N
3811,Wayne Avenue Northeast,Morningside/Lenox Park,F
3812,Commodore Drive Northwest,Center Hill,J
3813,Sequoyah Drive Northwest,Margaret Mitchell,A
3814,Margaret Mitchell Court Northwest,Westminster/Milmar,C
3815,Rockledge Road NE,Morningside/Lenox Park,F
3816,Lampkin Street Northeast,Old Fourth Ward,M
3817,Wildwood Place Northeast,Morningside/Lenox Park,F
3818,Dupree Street Northwest,Center Hill,J
3819,Collier Road Northwest,Collier Hills North,C
3820,Martha Avenue Northeast,Kirkwood,O
3821,Oak Street Southwest,Westview,T
3822,Valley Circle Northwest,South Tuxedo Park,B
3823,Chenault Place Northwest,Penelope Neighbors,J
3824,Plymouth Road Northeast,Morningside/Lenox Park,F
3825,Clay Street Northeast,Kirkwood,O
3826,James P Brawley Drive Southwest,Atlanta University Center,T
3827,Birchwood Drive Northeast,Garden Hills,B
3828,Delmar Avenue Southeast,Grant Park,W
3829,Albert Street Northwest,Collier Heights,I
3830,Spring Avenue Northwest,Hills Park,D
3831,Twelve Oaks Circle Northwest,Margaret Mitchell,A
3832,Braxton Place Southwest,Ben Hill Terrace,P
3833,Millbrook Drive Northwest,Chastain Park,A
3834,Stephens Street Southwest,Mechanicsville,V
3835,Vermont Road Northeast,Brookhaven,B
3836,Old Forest Park Southeast,South River Gardens,Z
3837,Plainville Way Southwest,Wildwood (NPU-H),H
3838,Spelman Lane Southwest,Atlanta University Center,T
3839,High Point Place Northeast,Morningside/Lenox Park,F
3840,West Peachtree Street Northeast,Midtown,E
3841,Glenlock Circle,Monroe Heights,G
3842,Lilla Circle Southwest,Florida Heights,I
3843,Buckhead Forest Mews,Buckhead Forest,B
3844,Stone Road Southwest,Deerwood,P
3845,Darrah Way Southwest,Deerwood,P
3846,Arlington Avenue Northeast,Lindridge/Martin Manor,F
3847,South River Industrial Boulevard Southeast,Rebel Valley Forest,Z
3848,Woodall Avenue Northeast,Poncey-Highland,N
3849,Cascade Road,Midwest Cascade,Q
3850,Bond Drive Southwest,Betmar LaVilla,Y
3851,Sentinel Post Road Northwest,Whitewater Creek,A
3852,Lionel Hampton PATH Trail,Audobon Forest,I
3853,Springdale Drive Northeast,Garden Hills,B
3854,Miller Reed Avenue Southeast,South Atlanta,Y
3855,Belfour Lane,Princeton Lakes,P
3856,Douglas Street Southwest,Mozley Park,K
3857,Gladstone Road Northwest,Springlake,C
3858,Montreat Place Southwest,Cascade Avenue/Road,S
3859,Wood Street Southeast,Grant Park,W
3860,Brantley Walk Lane Northwest,Riverside,D
3861,Cooledge Avenue Northeast,Virginia Highland,F
3862,Altoona Place Southwest,Mozley Park,K
3863,Fairlock Lane Northwest,Fairburn Heights,H
3864,Wooddale Drive Northeast,Lenox,B
3865,Austin Road Southwest,Old Fairburn Village,P
3866,Dover Road Northwest,Castlewood,C
3867,Elmtree Drive Southwest,Green Acres Valley,I
3868,Aiken Street Southwest,Joyland,Y
3869,Fleetwood Court Southwest,Beecher Hills,I
3870,Andover Drive Northwest,Mt. Paran/Northside,A
3871,King Henry Road Southwest,Kings Forest,P
3872,Northwest Drive Northwest,Bolton Hills,G
3873,Mornington Drive Northwest,Castlewood,C
3874,Davis Place Northwest,Underwood Hills,D
3875,Mockingbird Lane Southwest,Audobon Forest West,I
3876,Montview Drive Northwest,Peachtree Battle Alliance,C
3877,Beeline Boulevard,Home Park,E
3878,Valcouri Northwest Square,South Tuxedo Park,B
3879,Audubon Circle Southwest,Audobon Forest,I
3880,Casson Street Northeast,Lake Claire,N
3881,Lee Andrews Avenue Southeast,Norwood Manor,Z
3882,Park Lane Northeast,Ansley Park,E
3883,Briarcliff Place Northeast,Atkins Park,F
3884,Lenox Way,Pine Hills,B
3885,McPherson Place Southeast,East Atlanta,W
3886,Cherokee Place Southeast,Grant Park,W
3887,Thornberry Lane Southwest,Brentwood,P
3888,Randall Hall Road Northwest,Randall Mill,A
3889,Binder Place Northeast,Edgewood,O
3890,Bohler Road Northwest,Hanover West,C
3891,Lamon Avenue Southeast,Kirkwood,O
3892,Rhomboid Street Northwest,Underwood Hills,D
3893,Dodson Terrace Southwest,Campbellton Road,R
3894,Derby Drive Southwest,Campbellton Road,R
3895,Meadom Lane,Betmar LaVilla,Y
3896,Ponce de Leon Court Northeast,Midtown,E
3897,Laurens Drive Southwest,Laurens Valley,R
3898,Celebration Court,Midwest Cascade,Q
3899,Hills Avenue Southwest,Castleberry Hill,M
3900,Lakeshore Drive Northeast,Lindridge/Martin Manor,F
3901,Bates Avenue Northeast,Kirkwood,O
3902,Fielder Avenue Northwest,Home Park,E
3903,Pine Valley Road,Arden/Habersham,C
3904,Veltre Circle Southwest,Audobon Forest,I
3905,Rockdale Street Northwest,Rockdale,G
3906,Upton Road Northwest,Channing Valley,C
3907,Brasfield Square,Ormewood Park,W
3908,Beecher Street Southwest,Westwood Terrace,I
3909,Paces Valley Road Northwest,Mt. Paran/Northside,A
3910,McGruder Street Northeast,Old Fourth Ward,M
3911,Allene Avenue Southwest,Oakland City,S
3912,Oak Grove Avenue Southeast,East Atlanta,W
3913,Brook Hollow Road Northwest,Chastain Park,A
3914,Dumbarton Court Northwest,Kingswood,A
3915,Pollard Boulevard Southwest,Peoplestown,V
3916,Keats Drive Southwest,Peyton Forest,I
3917,North Martin Luther King Jr Drive Southwest,Vine City,L
3918,Glenway Drive Southwest,Perkerson,X
3919,Lisa Drive Southwest,Chalet Woods,I
3920,East Sussex Road Northeast,Morningside/Lenox Park,F
3921,Stone Road Southwest,Brentwood,P
3922,Clifton Road Northeast,Candler Park,N
3923,Indale Place Southwest,Oakland City,S
3924,Putnam Circle Northeast,East Chastain Park,B
3925,Mayfair Road Northeast,North Buckhead,B
3926,Center Street,Downtown,M
3927,Forest Crossing Drive Southwest,Midwest Cascade,Q
3928,Morrow Lane,Mays,H
3929,Orchard Lane Southeast,Orchard Knob,Z
3930,Pryor Street,Pittsburgh,V
3931,Lakemoore Drive Northeast,East Chastain Park,B
3932,Valley Road Northwest,South Tuxedo Park,B
3933,Ivan Hill Circle Southwest,Ivan Hill,I
3934,Brandywine Townhouses,Glenrose Heights,Z
3935,Bolling Way Northeast,Buckhead Village,B
3936,Holly Drive Southeast,Orchard Knob,Z
3937,Francis Street Northwest,Home Park,E
3938,John Lewis Freedom Parkway Northeast,Old Fourth Ward,M
3939,Marcy Street Southeast,South Atlanta,Y
3940,Wieuca Terrace Northeast,North Buckhead,B
3941,Tennyson Drive Northwest,Wildwood (NPU-C),C
3942,Chestnut Circle,East Chastain Park,B
3943,Quillian Avenue Southeast,East Lake,O
3944,Hollywood Road Northwest,Carver Hills,G
3945,Olive Street Southwest,Venetian Hills,S
3946,Runnemede Road Northwest,Chastain Park,A
3947,Cove Crossing Southwest,Niskey Cove,P
3948,Moore Street Southeast,Oakland,W
3949,Dupont Commons Circle NW,Bolton,D
3950,Oldfield Road Northwest,Woodfield,C
3951,Laverne Drive Northwest,Collier Heights,I
3952,Cardinal Way Southwest,Audobon Forest,I
3953,Breuer Mews,Blandtown,D
3954,Wesley Parkway Northwest,Margaret Mitchell,A
3955,Lynhurst Circle Southwest,Ivan Hill,I
3956,Kalb Street Southeast,Grant Park,W
3957,Watson Street Northeast,Edgewood,O
3958,Hollingsworth Boulevard,West Highlands,G
3959,Fairburn Road Southwest,Deerwood,P
3960,T. Harvey Mathis Parkway,Lindridge/Martin Manor,F
3961,Northside Beltline Trail,Peachtree Battle Alliance,C
3962,Garraux Road Northwest,Paces,A
3963,Sterling Street Southeast,Lakewood Heights,Y
3964,Byewood Lane Southwest,Oakland City,S
3965,Sandringham Drive Southwest,Southwest,R
3966,Pharr Court N Northwest,Peachtree Heights West,B
3967,Woodmere Drive Northwest,Collier Heights,I
3968,Adolphus Street Northeast,Lake Claire,N
3969,Russell Street,East Lake,O
3970,Agan Place Northeast,North Buckhead,B
3971,Bohler Road Northwest,Cross Creek,C
3972,Norfleet Road Northwest,Springlake,C
3973,Friar Tuck Road Northeast,Sherwood Forest,E
3974,Barone Place Northwest,Cross Creek,C
3975,Torrence Street Northwest,Penelope Neighbors,J
3976,Club Circle Northeast,Brookhaven,B
3977,Alston Place Northeast,Pine Hills,B
3978,Perimeter,Adamsville,H
3979,Elvan Avenue,Kirkwood,O
3980,Rivers Road Northwest,Peachtree Heights West,B
3981,1st Street Northeast,Edgewood,O
3982,Tatnall Street Southwest,Castleberry Hill,M
3983,Eastridge Road Southwest,Cascade Avenue/Road,S
3984,Hamilton E Holmes Drive Northwest,Florida Heights,I
3985,Druid Circle Northeast,Inman Park,N
3986,Wainwright Drive Southeast,East Atlanta,W
3987,Mangum Lane Southwest,Magnum Manor,I
3988,Beverly Lane Northeast,North Buckhead,B
3989,Symphony Lane Northwest,Collier Heights,I
3990,Teton Avenue Southeast,Boulevard Heights,W
3991,Ridgewood Circle Northwest,Paces,A
3992,Buckhead Trace Northeast,North Buckhead,B
3993,Davidson Avenue Northeast,Brookhaven,B
3994,Arden Oaks Court Northwest,Arden/Habersham,C
3995,BoA Plaza Walkway,Downtown,M
3996,Tiger Flowers Circle Northwest,Dixie Hills,J
3997,Shaw Street Southwest,The Villages at Carver,Y
3998,Tradeport Boulevard,Blair Villa/Poole Creek,Z
3999,Embassy Court Northeast,Pine Hills,B
4000,Rhodenhaven Drive Northwest,Castlewood,C
4001,Rabun Drive Southwest,West Manor,I
4002,Willow Street Northeast,Downtown,M
4003,Bill Kennedy Way,Grant Park,W
4004,St Andrews Drive Southwest,Fairway Acres,P
4005,Paran Place Northwest,Mt. Paran/Northside,A
4006,Glenlock Way Northwest,Monroe Heights,G
4007,Bixby Terrace Southeast,Kirkwood,O
4008,Converse Drive Northeast,Pine Hills,B
4009,Clark Howard Lane Southwest,Venetian Hills,S
4010,Ridgeland Way Northeast,Peachtree Hills,B
4011,Harte Drive Southwest,Sylvan Hills,X
4012,Tell Road Southwest,Wildwood Forest,P
4013,Reid Lane Northwest,Chastain Park,A
4014,Putnam Drive Northwest,Tuxedo Park,A
4015,Pelham Road Northeast,Piedmont Heights,F
4016,Marion Avenue Northeast,Candler Park,N
4017,West Wesley Road,Wesley Battle,C
4018,Rena Circle Southwest,Campbellton Road,R
4019,Atwood Street Southwest,Oakland City,S
4020,Jefferson Street Northwest,Bankhead,K
4021,Strathmore Drive Northeast,Lindridge/Martin Manor,F
4022,Cleburne Avenue Northeast,Inman Park,N
4023,Victor Circle Northwest,West Lake,J
4024,West Lake Avenue Southwest,Penelope Neighbors,J
4025,Boulder Park Drive Southwest,Wilson Mill Meadows,H
4026,Cambridge Drive Southwest,Brentwood,P
4027,Orange Blossom Terrace Southeast,East Atlanta,W
4028,Maid Lane Northwest,Bolton,D
4029,Tucker Place Southwest,Oakland City,S
4030,Joyce Circle,West Highlands,G
4031,Ridgewood Lane Southwest,Venetian Hills,S
4032,Northmoor Court Northwest,Westminster/Milmar,C
4033,Wesley Walk Northwest,Margaret Mitchell,A
4034,Kenlock Place Northeast,Peachtree Heights East,B
4035,Tell Road Southwest,Ben Hill,P
4036,Mercer St SE,Ormewood Park,W
4037,Old Flat Shoals Road Southeast,Reynoldstown,N
4038,Tiger Flowers Circle Northwest,Center Hill,J
4039,Dartmouth Drive Southwest,Baker Hills,H
4040,Lynhurst Drive Southwest,Harland Terrace,I
4041,Plantation Drive Northeast,Pine Hills,B
4042,Chateau Court Northwest,Argonne Forest,C
4043,Crown Road Southeast,Blair Villa/Poole Creek,Z
4044,Center Pointe Circle,Browns Mill Park,Z
4045,Donald Lee Hollowell Parkway Northwest,Collier Heights,G
4046,Oakdale Road Northeast,Druid Hills,N
4047,Bakers Ferry Road Southwest,Wisteria Gardens,H
4048,Troy Street Southeast,Lakewood Heights,Y
4049,Topaz Lane Southwest,Greenbriar,R
4050,Homestead Avenue Northeast,Morningside/Lenox Park,F
4051,Terrace Avenue Northeast,Candler Park,N
4052,East Kildare Avenue Northwest,Collier Heights,I
4053,Emerson Street Southeast,East Atlanta,W
4054,Tucson Trail Southwest,Arlington Estates,P
4055,Stratford Road Northeast,Lenox,B
4056,Center Street,Home Park,E
4057,Chastain Park Court Northeast,East Chastain Park,B
4058,Dawn View Lane Northwest,Brandon,C
4059,Moores Mill Road,Wesley Battle,C
4060,Wilson Avenue Northwest,Dixie Hills,J
4061,Old Paces Place,Paces,A
4062,Benjamin E Mays Drive Southwest,Audobon Forest West,I
4063,Kings Circle Northeast,Peachtree Hills,B
4064,Livermore Street Southeast,Lakewood Heights,Y
4065,Steele Drive Northwest,Loring Heights,E
4066,Niskey Lake Road Southwest,Elmco Estates,P
4067,Valley Road Northwest,Tuxedo Park,A
4068,Napier Street Southeast,Woodland Hills,W
4069,Oakcrest Drive Southwest,Magnum Manor,I
4070,Ville Street Southeast,Norwood Manor,Z
4071,The Highlands Northwest,Mt. Paran/Northside,A
4072,Macon Place Southeast,Glenrose Heights,Z
4073,Kathryn Circle Southwest,Deerwood,P
4074,Bohler Road Northwest,Wesley Battle,C
4075,Hanover West Court,Hanover West,C
4076,Niles Place NE,Morningside/Lenox Park,F
4077,Childress Drive Southwest,Greenbriar,R
4078,I 75,Paces,A
4079,Pratt Drive Southeast,Grant Park,W
4080,Dahlgren Lane,Edgewood,O
4081,Lenox Place Northeast,Pine Hills,B
4082,Manford Road Southwest,High Point,Y
4083,Regency Park Drive Southwest,Midwest Cascade,Q
4084,Ireland Place Northwest,Grove Park,J
4085,Cascade Court,Cascade Heights,I
4086,Screven Street Northeast,Edgewood,O
4087,Ewing Place Southwest,Oakland City,S
4088,Sheffield Drive,Harland Terrace,I
4089,Ormond Street Southwest,Peoplestown,V
4090,Northside Drive Southwest,Adair Park,V
4091,Fountain of Rings Plaza,Downtown,M
4092,Elvan Circle,Kirkwood,O
4093,Rosemary Street Northwest,Riverside,D
4094,Elaine Avenue Northwest,Blandtown,D
4095,Spring Garden Drive Southwest,Perkerson,X
4096,Canova Street Southwest,Laurens Valley,R
4097,Tom Murphy Freeway,Adamsville,H
4098,Belmonte Circle Southwest,Cascade Avenue/Road,S
4099,Marie Avenue Northwest,Washington Park,K
4100,Thackeray Place Southwest,Peyton Forest,I
4101,Baliwick Drive,Grant Park,W
4102,Twin Tendrils Southwest,Midwest Cascade,Q
4103,Taft Avenue Northeast,Midtown,E
4104,Powers Ferry Road Northwest,Tuxedo Park,A
4105,Inman Lane,Inman Park,N
4106,Browns Mill Road,Lakewood,Z
4107,Sherbrooke Way Southwest,Brentwood,P
4108,Nicholson Street Southeast,East Atlanta,W
4109,King James Drive Southwest,Kings Forest,P
4110,Tanyard Creek Trail,Brookwood,E
4111,North Wesley Court,Paces,A
4112,Springdale Road Northeast,Druid Hills,N
4113,Harris Trail Northwest,Mt. Paran/Northside,A
4114,Avondale Avenue Southeast,Boulevard Heights,W
4115,Lynch Avenue Northwest,Home Park,E
4116,Chester Avenue Southeast,Grant Park,W
4117,Sentinel View Northwest,Whitewater Creek,A
4118,Rogers Street Northeast,Edgewood,O
4119,Kings Court Northeast,Morningside/Lenox Park,F
4120,Proctor Creek Greenway,Rockdale,G
4121,Jonesboro Road Southeast,Rosedale Heights,Z
4122,Springer Street Northwest,Underwood Hills,D
4123,Peachtree Battle Circle Northwest,Brandon,C
4124,Sunbury Place Northwest,Channing Valley,C
4125,Defoors Ferry Road Northwest,Fernleaf,C
4126,Fernleaf Court Northwest,Fernleaf,C
4127,Arden Road Northwest,Argonne Forest,C
4128,Lamon Avenue Southeast,East Atlanta,W
4129,Laurel Avenue Southwest,Westview,T
4130,Brantley Place Northwest,Mozley Park,K
4131,Mount Gilead Road Southwest,Greenbriar,R
4132,Billings Avenue Southeast,Thomasville Heights,Z
4133,Parrot Avenue Northwest,Whittier Mill Village,D
4134,East Side Avenue Southeast,Kirkwood,O
4135,Glenaire Walk,East Atlanta,W
4136,Abington Court Northwest,Brandon,C
4137,Bryn Mawr Lane Northwest,Chastain Park,A
4138,Ferry Lane Southwest,Baker Hills,H
4139,Miller Avenue Northeast,Candler Park,N
4140,West Kildare Avenue Northwest,Collier Heights,I
4141,Delaware Avenue Northeast,Lake Claire,N
4142,Woodley Drive Northwest,Memorial Park,C
4143,Booth Street Northwest,Blandtown,D
4144,Mobile Avenue Southwest,Sylvan Hills,X
4145,Roxboro Drive Northeast,Pine Hills,B
4146,Drew Drive,West Highlands,G
4147,Wisteria Lane Southwest,Fairburn Mays,H
4148,T. Harvey Mathis Parkway,Lindbergh/Morosgo,B
4149,West Avenue Northwest,Grove Park,J
4150,Fairburn Circle,Ben Hill,P
4151,Village Parkway,Poncey-Highland,N
4152,Abbey Street Northwest,Penelope Neighbors,J
4153,Paces West Drive NW,Randall Mill,A
4154,Wales Avenue Northwest,Whittier Mill Village,D
4155,Stovall Street Southeast,Ormewood Park,W
4156,Hollydale Court Northwest,Chastain Park,A
4157,Camden Court,Princeton Lakes,P
4158,Hortense Way Northwest,Grove Park,J
4159,Nottingham Way Northeast,Sherwood Forest,E
4160,Westside BeltLine Connector,Downtown,M
4161,Terrace Drive Northeast,Peachtree Heights West,B
4162,Peachtree Dunwoody Road,North Buckhead,B
4163,Ashmel Court,Cascade Avenue/Road,S
4164,Essex Avenue Southwest,Adams Park,R
4165,Westland Boulevard Northwest,Westhaven,I
4166,Randall Mill Road Northwest,Randall Mill,A
4167,Collum Street Northwest,Penelope Neighbors,J
4168,Northside Drive Northwest,Brandon,C
4169,Chapel Street Southwest,Atlanta University Center,T
4170,Collier Street Northwest,Hunter Hills,K
4171,Joseph Avenue Southeast,East Atlanta,W
4172,Cypress Lane Southwest,Ben Hill Terrace,P
4173,Meadowbrook Drive Northeast,North Buckhead,B
4174,East Club Lane Northeast,Brookhaven,B
4175,Rilman Road Northwest,West Paces Ferry/Northside,A
4176,Wright Drive Southwest,Laurens Valley,R
4177,Veltre Place Southwest,Cascade Heights,I
4178,Olive Street Southeast,Lakewood Heights,Y
4179,Buchanan Street Northwest,Berkeley Park,D
4180,Marion Walk Southeast,Benteen Park,W
4181,Fernbank Drive Southwest,Wildwood Forest,P
4182,Fedora Way Northwest,Fairburn Heights,H
4183,Lawshe Street Southwest,Atlanta University Center,T
4184,Veltre Circle Southwest,Cascade Heights,I
4185,Coca-Cola Place Southeast,Downtown,M
4186,Milmar Drive Northwest,Westminster/Milmar,C
4187,South River Industrial Boulevard Southeast,Leila Valley,Z
4188,Huff Road Northwest,Berkeley Park,D
4189,Lofton Road Northwest,Loring Heights,E
4190,Westview Place Southwest,Mozley Park,K
4191,Ponti Mews,Blandtown,D
4192,Ivanhoe Drive Northwest,West Paces Ferry/Northside,A
4193,Blayton Lane Southeast,Norwood Manor,Z
4194,Martin Street Southeast,South Atlanta,Y
4195,Seaborn Road Northwest,Collier Heights,I
4196,Custer Way,Custer/McDonough/Guice,W
4197,Oakland Park Avenue Southeast,Grant Park,W
4198,Berwick Avenue Northeast,Morningside/Lenox Park,F
4199,Downtown Connector,Peoplestown,V
4200,Lebanon Drive Northeast,Piedmont Heights,F
4201,Murray Street Southeast,South Atlanta,Y
4202,Collier Drive Northwest,Carroll Heights,H
4203,Conway Valley Road Northwest,Mt. Paran/Northside,A
4204,Stratum Way Southeast,Grant Park,W
4205,Venetian Place,Princeton Lakes,P
4206,Southerland Terrace Northeast,Lake Claire,N
4207,Westminster Circle Northwest,Westminster/Milmar,C
4208,Preston Lane,Browns Mill Park,Z
4209,Conway Valley Court Northwest,Mt. Paran/Northside,A
4210,Club Station Drive Northeast,Brookhaven,B
4211,Allen Court Northwest,Chastain Park,A
4212,Crestridge Drive Northeast,Virginia Highland,F
4213,Fair Drive Southwest,Sylvan Hills,X
4214,Paces West Drive Northwest,Randall Mill,A
4215,University Drive Northeast,Morningside/Lenox Park,F
4216,La Salle Way Southwest,Baker Hills,H
4217,Greenwood Avenue Northeast,Midtown,E
4218,Ranier Drive Northwest,Kingswood,A
4219,Hurst Drive Northeast,Peachtree Hills,B
4220,Sheldon Drive Northeast,North Buckhead,B
4221,Buff Drive Northeast,North Buckhead,B
4222,Willie Street Northwest,Knight Park/Howell Station,K
4223,Laurelmont Drive Southwest,Green Forest Acres,I
4224,Peyton Road Southwest,Chalet Woods,I
4225,Park Avenue Southeast,The Villages at Carver,Y
4226,Jewel Drive,Midwest Cascade,Q
4227,Park Avenue,North Buckhead,B
4228,Reunion Court Southwest,Midwest Cascade,Q
4229,Leland Terrace Northeast,Kirkwood,O
4230,Park Road Southeast,Benteen Park,W
4231,Audubon Court,Cascade Heights,I
4232,Wellpointe Circle Southwest,Niskey Lake,P
4233,Spring Valley Road Northwest,Collier Hills,C
4234,Headland Drive,Greenbriar,R
4235,Charter Oak Drive Southwest,Wisteria Gardens,H
4236,King Charles Road Southwest,Kings Forest,P
4237,Northeast Expressway,Lindridge/Martin Manor,F
4238,Pecan Drive Southwest,Polar Rock,Z
4239,Guilford Forest Drive,Midwest Cascade,Q
4240,Park Avenue,Betmar LaVilla,Y
4241,Highland Drive Northeast,North Buckhead,B
4242,Lenox Oak Circle,Pine Hills,B
4243,Middle Plantation Road Northwest,Westover Plantation,C
4244,Ridgewood Terrace Northwest,Ridgewood Heights,C
4245,Gordon Terrace Southwest,Mozley Park,K
4246,Richardson Road Northwest,West Lake,J
4247,Jettridge Drive Northwest,Chastain Park,A
4248,Virginia Park Circle Northeast,Druid Hills,N
4249,Gilbert Street Southeast,Woodland Hills,W
4250,Surry County Place Northwest,Westover Plantation,C
4251,Zadie Street Northwest,Hills Park,D
4252,Wilkes Circle Northwest,Brookview Heights,G
4253,Ridgemore Place Northwest,Ridgewood Heights,C
4254,High POint Terrace,High Point,Y
4255,Minor Street,Castleberry Hill,M
4256,Kensington Court,Princeton Lakes,P
4257,Willis Street Northwest,West Lake,J
4258,Rockingham Drive Northwest,Castlewood,C
4259,Baltimore Place Northwest,Downtown,M
4260,McAllister Street Southwest,Westview,T
4261,Rockport Place Southwest,Wisteria Gardens,H
4262,Moores Mill Road,West Paces Ferry/Northside,A
4263,Blossom Street Southwest,Sylvan Hills,X
4264,Bradbury Street Southwest,Castleberry Hill,M
4265,Beck Street Northwest,Wildwood (NPU-C),C
4266,Hollywood Road Northwest,Almond Park,J
4267,Peyton Road Northwest,Whittier Mill Village,D
4268,Amber Place Northwest,Carroll Heights,H
